Well_Name,DEPT,DPHZ,DT,GR_EDTC,HCAL,HDRA,NPHI,PEFZ,RHOZ,RLA3,RLA4,RLA5,RM_HRLT,SPHI,SVEL,TENS,TT1,TT2,TT3,TT4
MIP_4H,3949.5,-0.0163,70.3514,138.6499,8.6904,0.0045,0.1979,3.2253,2.7065,46.1413,49.0398,50.5312,0.0406,0.1275,14214.3545,2595,492.6265,359.9911,479.7718,339.8438
MIP_4H,3950,-0.0039,70.4767,146.9357,8.679,-0.0002,0.2095,3.2513,2.6864,40.098,41.9574,43.3302,0.0411,0.1284,14189.0908,2591,491.0789,356.9075,473.0456,333.7802
MIP_4H,3950.5,0.0102,70.0514,134.9796,8.6904,-0.005,0.2035,3.2782,2.6633,51.3996,56.4363,57.0061,0.0415,0.1254,14275.2344,2616,491.1352,356.0904,470.4322,335.0329
MIP_4H,3951,0.0269,68.2323,135.1906,8.6563,-0.0087,0.1905,3.2875,2.6362,69.7691,76.2101,79.7949,0.0414,0.112,14655.8174,2592,489.7395,356.9088,470.0889,329.3532
MIP_4H,3951.5,0.0362,67.2962,128.562,8.6563,-0.0085,0.1655,3.269,2.621,89.5176,103.3241,109.4762,0.0411,0.1049,14859.6758,2582,487.1878,357.6343,465.3451,327.1241
MIP_4H,3952,0.0402,67.3104,133.2892,8.6109,-0.0071,0.1601,3.2728,2.6145,71.2796,79.3026,86.8796,0.041,0.105,14856.5547,2579,489.6548,354.8081,467.1858,326.1172
MIP_4H,3952.5,0.0404,68.0364,131.9734,8.6336,-0.004,0.1582,3.311,2.6142,57.5679,61.1029,65.2759,0.0409,0.1106,14698.0117,2608,490.2485,350.2282,467.5513,321.9727
MIP_4H,3953,0.0367,67.9735,134.4591,8.6677,-0.001,0.1659,3.3153,2.6202,63.7071,69.1131,72.5721,0.0408,0.1101,14711.6201,2559,487.0406,349.9002,465.098,324.5884
MIP_4H,3953.5,0.037,68.3934,136.5387,8.6109,-0.0004,0.1662,3.3124,2.6196,81.4935,94.3979,100.5547,0.041,0.1133,14621.3018,2602,485.8604,352.5694,467.1778,327.151
MIP_4H,3954,0.0317,67.5189,134.8815,8.6109,0.0004,0.1764,3.2786,2.6283,56.9467,61.1155,64.6992,0.041,0.1066,14810.665,2570,488.1201,352.4474,469.0723,327.0733
