Hole Depth,Hook Load,Rotary RPM,Rotary Torque,Weight on Bit,Differential Pressure,Gamma at Bit,Rate Of Penetration
7122,125.8,49,10.785,19.3,617.9,132.35,119.69
7123,124.2,49,9.099,18.9,556.4,139.7,120.08
7124,121.6,49,10.508,19.7,604.4,139.7,120.36
7125,122.9,49,9.605,20.7,616.3,110.29,110.92
7126,126,49,9.564,19.3,621.2,95.59,119.98
7127,122.3,49,9.549,20,590.9,102.94,120.15
7128,120.8,49,9.53,20.3,606.3,110.29,116.57
7129,126.1,49,9.729,19.7,620.6,110.29,99.32
7130,123.6,49,9.039,18.4,604.7,110.29,120.24
7131,122.9,49,9.399,19.5,609.8,117.64,117.93
7132,123.5,49,9.425,21,619.6,106.62,106.67
7133,124.2,49,8.047,16.8,594.3,125,29.53
7134,124.6,49,9.35,18.6,611.7,110.29,111.87
7135,124,49,9.223,20.1,594.9,125,117.76
7136,123.2,49,9.939,20.7,606.9,113.97,118.87
7137,123.5,49,9.275,20.7,615.6,113.97,117.93
7138,123.5,49,9.133,20.6,618.3,113.97,118.11
7139,122.7,49,8.755,20.4,615.5,121.32,111.17
7140,123.6,49,9.009,20.7,624.5,139.7,109.75
7141,123.1,49,8.833,20.6,616.7,117.64,113.02
7142,123.4,49,9.137,20.6,610.9,110.29,111.46
7143,123.6,49,9.092,20.9,621.7,128.67,97.71
7144,122,49,8.949,21.1,611.8,128.67,115.62
7146,133.9,0,1.06,9.4,262.7,147.06,28.61
7147,127.7,2,12.014,10.3,353.5,132.35,33.38
7148,128,0,5.563,9.9,361.4,113.97,33.46
7149,129,0,5.735,8.9,420.1,139.7,33.41
7150,128.5,0,5.855,9.1,379.3,136.03,36.78
7151,127.9,0,5.863,12.4,376.7,132.35,36.84
7152,126.3,0,4.267,11.1,352.4,132.35,36.93
7153,127.7,0,5.124,11.3,382.4,139.7,36.72
7154,127.4,0,6.196,10.5,389.4,110.29,36.57
7155,129.2,0,6.305,10.6,398.4,227.94,36.36
7156,127.2,0,6.042,10.7,367.2,110.29,34.45
7157,127,0,6.173,10.3,337.7,125,35.41
7158,127,0,5.503,10.7,329.7,102.94,34.79
7159,126.5,0,6.477,11.2,308.9,117.64,34.88
7160,126.6,0,6.188,11.4,361.6,110.29,34.87
7161,128.7,0,5.72,9.1,277.8,113.97,37.75
7162,128.5,0,5.866,9,305.7,117.64,38.28
7163,126.5,0,6.424,11.3,375.5,102.94,41.63
7164,129.6,0,4.334,11.1,355.4,669.1,37.19
7165,129.3,0,6.327,8.8,331.6,411.76,39.02
7166,136.4,60,7.687,8,265.4,110.29,34.43
7167,127,60,10.613,14,555.2,88.23,132.46
7168,122.5,60,10.317,14.2,594.1,106.62,136.56
7169,124.4,60,10.339,14.8,608.2,113.97,129.81
7170,123.9,60,10.152,14.1,590,117.64,132.96
7171,122.2,60,10.028,13.9,589.8,117.64,118.35
7172,124.3,60,9.983,13.2,583.1,69.85,122.9
7173,124.2,60,10.669,12.8,581.5,69.85,143.04
7174,124.5,60,9.954,12.3,581.4,84.56,140.33
7175,124.7,60,10.796,12.8,580.7,102.94,140.75
7179,124.2,60,10.028,12.3,576.9,91.91,136.13
7180,124.4,60,10.156,12.1,570.2,113.97,138.01
7181,124.4,60,9.957,14.3,574.2,95.59,137.92
7182,135.1,59,6.439,4.9,179.1,99.26,54.05
7183,129.4,60,9.122,10.9,478.5,99.26,137.72
7184,125.9,60,10.68,13.7,600.2,99.26,149.53
7185,126,60,8.706,11.6,564.3,91.91,142.61
7186,122.8,60,9.905,13.6,586.8,91.91,149.61
7187,122.9,60,10.819,14.3,586.7,102.94,130.85
7188,121.8,60,10.175,16.4,591.6,102.94,140.41
7189,126.6,60,10.309,14.5,610.5,102.94,119.05
7190,123.4,60,9.815,13.2,587.5,102.94,148.43
7191,123.8,60,9.909,12.6,559.6,125,139.64
7192,125.9,60,10.695,14.3,604.3,139.7,141.43
7193,127.5,60,11.025,14.5,618.8,113.97,141.32
7194,125.8,60,9.275,11.5,492.7,102.94,150.03
7195,124.5,60,9.777,12.5,554.9,102.94,149.18
7196,124.6,60,9.126,15.4,543.5,95.59,146.71
7197,119.4,60,8.054,18.1,509.2,99.26,147.65
7198,119.9,60,8.758,17.6,553.8,91.91,122.48
7199,120.3,60,10.377,19.5,582.3,99.26,133.94
7200,118.6,60,9.965,19.3,590.3,99.26,105.45
7201,130.4,1,13.318,14,380.8,154.41,27.74
7202,129.7,1,4.454,10.9,257.7,121.32,22.71
7203,129.6,0,6.533,13.3,437.8,125,18.51
7204,128.3,0,4.604,10.5,173.9,128.67,16.4
7205,125.9,7,6.05,15,395,110.29,24.33
7206,129.2,4,4.731,15.9,369.8,102.94,23.03
7207,127.4,0,2.528,11.9,349.4,102.94,21.59
7208,127.6,0,2.525,11.8,303.9,110.29,21.65
7209,127.2,0,2.525,11.8,315.3,106.62,25.83
7210,128.5,0,2.528,11,364.5,95.59,26.28
7211,128.3,0,2.532,14.6,444,113.97,26.51
7212,127,0,2.184,11.4,356.6,121.32,26.32
7213,128.7,0,2.18,10.9,335.8,132.35,26.15
7214,128.4,0,2.18,15.6,495.8,610.28,26.07
7215,129.2,0,2.172,14.1,316.8,143.38,25.91
7216,132.9,60,8.028,14.9,466.3,128.67,66.63
7217,121.5,60,9.804,18.8,609.6,117.64,116.57
7218,125.2,59,8.92,15.3,543.6,117.64,45.89
7219,124.6,60,10.841,17.9,656.2,117.64,128.39
7220,123.4,60,10.055,19.6,657,121.32,130.87
7221,120.9,60,10.482,20.9,652.6,88.23,132.6
7222,121,60,11.216,23,662.4,158.09,108.36
